id,date,action,amount,coin,domain
"9ADoyhXNofgg87qdABb0XFiSqVOiMKHE","2025-12-17 11:00:03","renewTLD","","","myaym"
"tWgiuU0ryLAAaicIZlEscsW3eoUfacOz","2025-12-17 11:00:03","renewTLD","","","xn--ss8hpz"
"C2AklSYKSuxMtZiJgaimehly1FOcDLUI","2025-12-17 11:00:03","renewTLD","","","romanroad"
"5hz2h15lkDztpP6dXBItXxvVc0qJXkdP","2025-12-17 11:00:03","renewTLD","","","catspaws"
"S6Avv7idaO5wzzqa1DZmeqIvbI0GdKQF","2025-12-17 11:00:03","renewTLD","","","hongki"
"k1JEo38WyikOc4SSxQWnuHT5b5m6Zpfm","2025-12-17 11:00:03","renewTLD","","","wikisage"
"z2MpTfN9p6KlRz1s0cu1GEDn3GiXQ1HJ","2025-12-17 11:00:03","renewTLD","","","globallynomadic"
"Q0nGTFYv3LOE5Em1vf2RotDPKkly7WKn","2025-12-17 11:00:03","renewTLD","","","pedrose"
"ffTzxe5Dx4574fCuXHa5hf6PDFNYc4uN","2025-12-17 11:00:03","renewTLD","","","xn--r5b8b8bj"
"08lrOHfaOy6P9nFu9hbbRX9aCkqUFn7a","2025-12-17 11:00:03","renewTLD","","","xn--85bhk3j"
"ptTRYW8WxSgbgaDaEYTv8sAmFpexElBw","2025-12-17 11:00:02","renewTLD","","","ehehe"
"Rpulv0bF5ejjfCXWt23TvPrszfL0KBnD","2025-12-17 11:00:02","renewTLD","","","hamuk"
"kSP5nf6vmNpBeuquKkjAqAjCeQsEXzHK","2025-12-17 11:00:02","renewTLD","","","fomomofos"
"sjl9oAZ4yagUSkPOqWeIlXZlvECkTQXP","2025-12-17 11:00:02","renewTLD","","","nvem"
"Nim92duFZKaZkCET2xS8yTTu21T8ndMY","2025-12-17 11:00:02","renewTLD","","","yoiu"
"motYFX7d0xUYYayojrzxTASXkk94MxYk","2025-12-17 11:00:02","renewTLD","","","pivt"
"akJ1BGaiJHFnoZ4afZWEgUYHaNPsphCa","2025-12-17 11:00:02","renewTLD","","","kiitana"
"gEU1Pq1Zwv3eZ1p7rmzmOq1Kj3MVoxIN","2025-12-17 11:00:02","renewTLD","","","gauni"
"lvSmffbwLic6jt4iqGUvcbicLbP8FC3X","2025-12-17 11:00:02","renewTLD","","","ubjw"
"F00nO8Un0RZnMdd5dmmiukM1cvAbEn4H","2025-12-17 11:00:02","renewTLD","","","ziesar"
